,prediction,actual
0,56.971737,57.0
1,57.01499,58.0
2,58.05479,58.0
3,57.995144,58.0
4,58.003803,58.0
5,57.98709,59.0
6,58.81475,59.0
7,58.87509,59.0
8,58.857876,59.0
9,58.81009,60.0
10,59.80112,60.0
11,59.78441,60.0
12,59.769257,60.0
13,59.751358,61.0
14,60.845078,62.0
15,61.805504,62.0
16,61.794296,62.0
17,62.0707,62.0
18,62.18052,62.0
19,61.93523,63.0
20,63.01343,64.0
21,64.17908,64.0
22,64.1145,74.0
23,74.0217,77.0
24,76.81138,71.0
25,70.79854,64.0
26,63.90427,64.0
27,63.739258,64.0
28,63.98683,65.0
29,65.21847,66.0
30,66.14704,64.0
31,63.669384,64.0
32,63.630733,63.0
33,62.649014,63.0
34,62.663754,63.0
35,62.700893,62.0
36,61.698677,62.0
37,61.665405,61.0
38,60.682217,61.0
39,60.795334,61.0
40,60.864555,61.0
41,61.062824,61.0
42,61.028755,61.0
43,61.08535,61.0
44,61.27437,60.0
45,60.170956,60.0
46,60.138405,60.0
47,60.069794,61.0
48,61.024612,61.0
49,61.035988,62.0
50,61.89382,61.0
51,60.933594,61.0
52,60.74853,60.0
53,59.85411,61.0
54,60.77221,63.0
55,62.986523,65.0
56,64.933975,65.0
57,64.72893,65.0
58,64.737335,65.0
59,64.74967,65.0
60,64.75818,66.0
61,65.67486,66.0
62,65.76462,66.0
63,65.63811,65.0
64,64.783424,65.0
65,64.91446,65.0
66,65.114586,65.0
67,64.8816,65.0
68,64.97169,65.0
69,65.17486,66.0
70,66.206474,65.0
71,64.84888,64.0
72,63.717113,62.0
73,61.797783,62.0
74,61.842888,62.0
75,61.839382,61.0
76,60.783146,61.0
77,60.762333,59.0
78,58.837204,58.0
79,57.772625,57.0
80,56.807667,57.0
81,56.75199,58.0
82,57.682228,59.0
83,58.73162,59.0
84,58.651974,59.0
85,58.6043,58.0
86,57.62772,59.0
87,58.694717,59.0
88,58.798363,59.0
89,58.92883,58.0
90,57.96224,59.0
91,58.994022,58.0
92,57.86729,58.0
93,58.111046,58.0
94,58.153587,59.0
95,58.98819,59.0
96,58.901737,60.0
97,59.84485,60.0
98,59.784084,61.0
99,60.77551,61.0
100,60.76651,61.0
101,60.757305,61.0
102,60.769302,61.0
103,60.74235,61.0
104,60.761894,61.0
105,60.738132,61.0
106,60.692898,61.0
107,60.720264,61.0
108,60.710567,62.0
109,61.67997,62.0
110,61.793125,63.0
111,62.75811,63.0
112,62.893124,63.0
113,62.725086,63.0
114,63.053497,63.0
115,62.699768,63.0
116,62.80786,63.0
117,63.11165,63.0
118,63.19959,63.0
119,62.95145,63.0
120,63.122803,64.0
121,64.05839,64.0
122,63.907642,65.0
123,65.01314,65.0
124,64.99515,66.0
125,65.996826,66.0
126,65.89204,66.0
127,65.99405,67.0
128,66.97915,67.0
129,66.86546,67.0
130,66.9214,67.0
131,66.87147,68.0
132,67.86876,68.0
133,67.82601,68.0
134,67.779884,68.0
135,67.70849,68.0
136,67.743225,68.0
137,67.87662,68.0
138,68.026985,69.0
139,69.1102,70.0
140,70.315895,70.0
141,69.90244,70.0
142,69.88839,70.0
143,69.77697,70.0
144,69.85273,70.0
145,69.73379,69.0
146,68.74478,69.0
147,68.86719,69.0
148,68.877014,67.0
149,66.78565,66.0
150,65.77446,64.0
151,63.79013,63.0
152,62.75806,62.0
153,61.798603,61.0
154,60.78308,60.0
155,59.800465,59.0
156,58.78829,58.0
157,57.767075,59.0
158,58.85813,60.0
159,59.930733,60.0
160,59.91962,61.0
161,60.892673,61.0
162,60.830463,60.0
163,59.735527,59.0
164,58.784645,59.0
165,58.713284,59.0
166,58.894844,59.0
167,58.970345,59.0
168,58.963528,59.0
169,59.029194,59.0
170,59.0487,59.0
171,59.01253,58.0
172,57.837963,59.0
173,58.83719,59.0
174,58.780327,60.0
175,59.7927,60.0
176,59.78121,60.0
177,59.78793,60.0
178,59.789066,59.0
179,58.81664,59.0
180,58.807186,59.0
181,58.81036,58.0
182,57.78149,57.0
183,56.847237,57.0
184,56.96129,56.00000000000001
185,56.048565,57.0
186,57.099575,57.0
187,57.050526,58.0
188,57.971962,58.0
189,58.057606,58.0
190,57.987614,67.0
191,67.01027,77.0
192,76.987724,74.0
193,73.95126,55.0
194,54.82468,54.0
195,53.787613,53.0
196,52.805798,53.0
197,52.80014,53.0
198,52.79372,54.0
199,53.824078,55.0
200,54.905148,55.0
201,54.818638,57.0
202,56.89506,58.0
203,57.908615,60.0
204,59.84233,61.0
205,60.813553,63.0
206,62.985527,64.0
207,64.04266,64.0
208,64.013565,64.0
209,63.95621,64.0
210,63.86737,63.0
211,62.98503,63.0
212,62.897068,62.0
213,61.710773,62.0
214,61.889,62.0
215,61.877632,61.0
216,60.811646,62.0
217,61.816223,62.0
218,61.77741,62.0
219,61.7648,62.0
220,61.647087,62.0
221,61.71643,63.0
222,62.69671,63.0
223,62.76308,62.0
224,61.6933,63.0
225,62.87786,63.0
226,62.86604,62.0
227,61.82653,62.0
228,61.749496,61.0
229,60.711628,60.0
230,59.798973,60.0
231,59.96184,60.0
232,59.998775,60.0
233,59.863464,60.0
234,60.08295,60.0
235,59.918095,61.0
236,60.964516,61.0
237,60.887505,61.0
238,60.60616,61.0
239,60.895267,61.0
240,60.800106,62.0
241,61.822536,62.0
242,61.7547,62.0
243,61.759903,62.0
244,61.623905,62.0
245,61.701485,62.0
246,61.656414,61.0
247,60.632473,62.0
248,61.789772,61.0
249,60.743484,61.0
250,60.75714,61.0
251,60.80237,61.0
252,60.779068,62.0
253,61.87208,62.0
254,61.821064,62.0
255,61.88968,61.0
256,60.788094,61.0
257,60.835457,60.0
258,59.849834,59.0
259,58.79344,59.0
260,58.784256,58.0
261,57.756195,59.0
262,58.769276,58.0
263,57.79184,59.0
264,58.827477,59.0
265,58.76828,59.0
266,58.79206,59.0
267,58.812565,59.0
268,58.771545,59.0
269,58.81684,60.0
270,59.72334,60.0
271,59.72982,60.0
272,59.817616,60.0
273,59.856346,59.0
274,58.757603,57.0
