DATE TIME,PM10 1H (µg/m3),PM2.5 1H (µg/m3),SO2 1H (ppm),NO2 1H (ppm),O3 1H (ppm),CO 1H (ppm),WIND DIRECTION 1H (°),WIND SPEED 1H (m/s),RELATIVE HUMIDITY 1H (%),Ambient Temperature 1H (°c),API
2020-01-01 00:00:00,9.473,6.912,0.0007,0.0075,0.0144,0.452,84.932,1.686,68.639,28.324,57
2020-01-01 01:00:00,11.324,8.692,0.0007,0.0064,0.0156,0.422,85.57,1.54,68.487,27.822,56
2020-01-01 02:00:00,10.591,5.97,0.0007,0.0111,0.008,0.548,76.634,0.809,71.484,27.172,56
2020-01-01 03:00:00,10.094,6.186,0.0006,0.01,0.0091,0.47,59.948,0.971,72.034,27.01,56
2020-01-01 04:00:00,13.498,8.54,0.0006,0.0123,0.0063,0.524,63.435,1.203,73.867,26.484,56
2020-01-01 05:00:00,11.835,5.177,0.0006,0.0044,0.0165,0.331,50.321,2.036,69.533,26.714,56
2020-01-01 06:00:00,10.697,7.044,0.0005499999999999,0.0041,0.0172,0.342,60.153,2.164,69.6,26.498,56
2020-01-01 07:00:00,11.113,7.518,0.0005,0.0061,0.0142,0.4005,78.012,1.242,71.05,25.892,56
2020-01-01 08:00:00,10.383,6.751,0.0004,0.00715,0.0105,0.459,88.913,0.685,72.818,25.533,56
2020-01-01 09:00:00,16.109,12.432,0.0005,0.0082,0.01715,0.493,69.697,1.193,64.234,27.775,56
2020-01-01 10:00:00,20.778,16.51,0.0005,0.0054,0.0238,0.427,66.646,1.062,54.976,30.155,56
2020-01-01 11:00:00,13.24,5.927,0.0005,0.005,0.0304,0.421,52.673,0.853,49.383,31.629,56
2020-01-01 12:00:00,13.907,7.991,0.0004,0.0035,0.034,0.35,62.707,0.985,48.55,32.465,56
2020-01-01 13:00:00,25.31,8.845,0.0006,0.0043,0.0285,0.45,46.724,1.645,48.767,32.442,56
2020-01-01 14:00:00,8.823,3.358,0.0005,0.0037,0.0278,0.334,59.689,2.362,47.634,32.508,56
2020-01-01 15:00:00,13.391,7.842,0.0005,0.0035,0.0272,0.35,58.231,1.878,47.234,32.873,56
2020-01-01 16:00:00,10.023,5.296,0.0006,0.0043,0.027,0.39,50.453,2.128,46.475,33.282,56
2020-01-01 17:00:00,13.09,8.109,0.0004,0.0038,0.0282,0.35,44.217,1.448,43.934,34.417,56
2020-01-01 18:00:00,10.381,4.852,0.0004,0.003,0.0257,0.36,93.882,2.541,48.15,32.615,56
2020-01-01 19:00:00,13.78,8.103,0.0004,0.004,0.0229,0.405,84.775,2.229,52.167,31.595,56
2020-01-01 20:00:00,17.982,13.828,0.0004,0.0068,0.0185,0.448,92.019,1.731,58.35,29.952,55
2020-01-01 21:00:00,12.77,7.371,0.0005,0.0109,0.0139,0.539,85.389,1.406,61.25,29.258,55
2020-01-01 22:00:00,13.84,7.971,0.0004,0.0114,0.0116,0.545,98.955,0.687,64.45,28.568,54
2020-01-01 23:00:00,24.294,18.132,0.0004,0.0192,0.0027,0.815,101.491,0.497,68.967,27.7,53
2020-01-02 00:00:00,28.809,23.188,0.0008,0.0252,0.0097,0.92,111.492,0.516,87.073,26.351,53
2020-01-02 01:00:00,44.211,29.399,0.001,0.0315,0.0015,1.079,61.714,0.537,89.331,26.157,52
2020-01-02 02:00:00,60.795,33.689,0.001,0.0295,0.0011,1.131,50.406,0.555,90.133,26.012,51
2020-01-02 03:00:00,75.444,34.688,0.001,0.0272,0.001,1.19,101.842,0.696,90.767,25.797,50
2020-01-02 04:00:00,38.705,26.204,0.001,0.0225,0.0009,1.141,93.504,0.54,90.75,25.46,49
2020-01-02 05:00:00,35.476,24.459,0.0009,0.0208,0.0009,1.162,106.065,0.527,92.467,25.145,48
2020-01-02 06:00:00,30.513,20.98,0.0009,0.0178,0.0005,1.097,119.762,0.425,91.167,24.958,47
2020-01-02 07:00:00,20.776,8.406,0.0009,0.0177,0.0006,1.1765,86.445,0.5,88.669,24.999,46
2020-01-02 08:00:00,42.098,28.402,0.001,0.02095,0.001,1.256,98.811,0.536,90.15,25.005,46
2020-01-02 09:00:00,28.966,17.361,0.0012,0.0242,0.0091499999999999,1.605,115.911,0.627,85.3,26.582,45
2020-01-02 10:00:00,26.897,20.765,0.001,0.0161,0.0173,0.911,75.391,1.384,69.767,29.34,45
2020-01-02 11:00:00,6.285,2.688,0.0008,0.0037,0.031,0.515,77.249,3.126,62.55,29.99,44
2020-01-02 12:00:00,10.148,5.045,0.0008,0.0028,0.0332,0.479,91.126,3.359,60.65,30.617,44
2020-01-02 13:00:00,10.608,5.669,0.0007,0.0021,0.034,0.475,89.804,3.215,59.733,31.065,44
2020-01-02 14:00:00,12.524,7.052,0.0007,0.0021,0.0338,0.474,86.562,2.785,57.296,31.707,43
2020-01-02 15:00:00,16.364,11.289,0.001,0.0033,0.0334,0.527,80.581,2.395,56.558,31.948,43
2020-01-02 16:00:00,16.523,12.385,0.0008,0.003,0.033,0.505,73.854,2.787,55.287,32.005,43
2020-01-02 17:00:00,16.192,10.564,0.0008,0.0038,0.0303,0.512,57.376,2.042,58.604,31.457,44
2020-01-02 18:00:00,16.713,11.806,0.0007,0.0062,0.0281,0.609,38.012,1.215,57.839,31.846,45
2020-01-02 19:00:00,12.152,6.98,0.0006,0.0035,0.0306,0.559,87.986,2.247,58.326,31.054,46
2020-01-02 20:00:00,16.268,11.627,0.0007,0.0036,0.0312,0.546,77.416,2.612,61.698,29.528,48
2020-01-02 21:00:00,13.103,7.636,0.0007,0.0048,0.03,0.564,77.078,2.021,63.678,28.923,49
2020-01-02 22:00:00,12.921,8.363,0.0006,0.005,0.0292,0.577,80.408,1.969,64.967,28.758,51
2020-01-02 23:00:00,18.187,13.446,0.0007,0.0041,0.0291,0.55,83.748,1.855,65.479,28.694,52
2020-01-03 00:00:00,37.318,29.917,0.001,0.0243,0.016,0.946,90.802,1.072,76.167,28.167,53
2020-01-03 01:00:00,32.41,24.64,0.0009,0.0238,0.0138,0.923,87.482,0.797,76.984,27.752,54
2020-01-03 02:00:00,43.417,34.315,0.001,0.0331,0.0053,1.168,83.975,0.762,79.2,27.482,55
