Feature,Importance
SO2 1H (ppm),0.0032837925837643626
RELATIVE HUMIDITY 1H (%),0.004129627505527558
O3 1H (ppm),0.004162797895445516
WIND SPEED 1H (m/s),0.0042509829414469485
CO 1H (ppm),0.0042603425734188205
Ambient Temperature 1H (°c),0.004476309392704618
WIND DIRECTION 1H (°),0.004846229949441748
NO2 1H (ppm),0.00571641927668322
PM10 1H (µg/m3),0.0114358649392657
PM2.5 1H (µg/m3),0.013835932761988572
API_lag6,0.13879871781396072
API_lag3,0.2933389994510948
API_lag1,0.5074639829152574
