,prediction,actual
0,54.92655,55.0
1,55.055702,53.99999999999999
2,54.85508,55.0
3,54.724937,55.0
4,54.60335,55.0
5,54.587944,53.99999999999999
6,54.653633,53.99999999999999
7,54.584473,53.99999999999999
8,54.371075,53.99999999999999
9,54.20614,53.99999999999999
10,54.01573,53.99999999999999
11,53.730602,53.99999999999999
12,53.731808,53.99999999999999
13,53.80368,53.99999999999999
14,53.911762,53.99999999999999
15,54.068554,53.99999999999999
16,54.37378,55.0
17,54.89142,56.0
18,55.354458,56.0
19,55.83218,56.0
20,56.422085,56.0
21,56.993706,56.0
22,57.03357,57.0
23,57.213005,58.0
24,57.425755,58.0
25,57.3619,59.0
26,57.35016,59.0
27,57.42972,59.0
28,57.22298,58.0
29,57.203384,58.0
30,56.97276,58.0
31,56.63737,58.0
32,56.362713,58.0
33,56.222767,58.0
34,56.04442,58.0
35,55.76084,58.0
36,55.60226,58.0
37,55.57955,58.0
38,55.548435,58.0
39,55.566723,58.0
40,55.721043,58.0
41,55.489124,57.0
42,55.674767,57.0
43,55.867275,57.0
44,56.021164,57.0
45,56.16389,57.0
46,56.57469,57.0
47,56.852345,56.0
48,57.50315,56.0
49,57.822914,56.0
50,57.751137,56.0
51,57.69212,56.0
52,57.6168,58.0
53,57.640106,58.0
54,57.566326,58.0
55,57.517735,57.0
56,57.34412,57.0
57,57.042744,57.0
58,56.819893,57.0
59,56.603775,57.0
60,56.415195,57.0
61,56.36854,57.0
62,56.36477,57.0
63,56.223705,57.0
64,56.315746,56.0
65,56.295,56.0
66,56.923283,56.0
67,57.188362,55.0
68,57.15638,55.0
69,57.341454,55.0
70,57.90778,55.0
71,58.281258,55.0
72,58.35643,55.0
73,58.550003,55.0
74,58.811413,55.0
75,58.77291,55.0
76,58.75173,53.99999999999999
77,58.822582,55.0
78,58.87822,55.0
79,58.822712,55.0
80,58.650913,55.0
81,58.516266,55.0
82,58.355312,55.0
83,58.162952,55.0
84,57.805073,55.0
85,57.456303,55.0
86,57.111923,55.0
87,56.70747,56.0
88,56.276352,56.0
89,55.834652,56.0
90,55.95371,56.0
91,56.63046,57.0
92,57.038826,57.0
93,57.486393,57.0
94,58.036346,57.0
95,58.00584,57.0
96,58.190315,57.0
97,58.41108,57.0
98,58.746334,57.0
99,58.848724,57.0
100,58.87015,56.0
101,58.928684,55.0
102,58.996452,55.0
103,59.056942,55.0
104,59.009445,55.0
105,59.018936,55.0
106,58.92733,55.0
107,58.92449,53.99999999999999
108,58.918045,53.99999999999999
109,58.90242,53.99999999999999
110,59.00307,53.99999999999999
111,59.060806,53.99999999999999
112,59.182266,53.99999999999999
113,59.13577,53.99999999999999
114,59.41871,53.99999999999999
115,59.624615,55.0
116,60.156387,55.0
117,60.37517,55.0
118,60.42759,55.0
119,60.259438,55.0
120,59.94883,55.0
121,59.872185,55.0
122,59.8126,55.0
123,59.823536,56.0
124,59.866783,56.0
125,59.87143,57.0
126,59.935745,57.0
127,59.94567,57.0
128,59.905415,57.0
129,59.82803,57.0
130,59.72065,57.0
131,59.50554,57.0
132,59.500088,57.0
133,59.47588,57.0
134,59.454014,57.0
135,59.441425,57.0
136,59.631584,58.0
137,59.948887,58.0
138,60.218246,58.0
139,60.494057,58.0
140,60.28437,58.0
141,60.35265,58.0
142,60.083252,57.0
143,59.64606,57.0
144,59.47705,57.0
145,59.430706,57.0
146,59.42129,56.0
147,59.426582,55.0
148,59.396706,55.0
149,59.389618,53.99999999999999
150,59.375626,53.99999999999999
151,59.385853,53.99999999999999
152,59.41701,53.99999999999999
153,59.459335,53.99999999999999
154,59.461414,53.99999999999999
155,59.485664,53.99999999999999
156,59.48511,53.99999999999999
157,59.541164,55.0
158,59.528255,55.0
159,59.521423,53.99999999999999
160,59.693604,53.99999999999999
161,59.899582,53.99999999999999
162,60.283783,53.99999999999999
163,60.536015,53.99999999999999
164,60.689903,53.99999999999999
165,60.828014,55.0
166,60.728752,57.0
167,60.917988,58.0
168,60.742683,59.0
169,60.648594,60.0
170,60.58843,61.0
171,60.48653,62.0
172,60.251133,63.0
173,60.207302,64.0
174,60.035187,64.0
175,59.878685,64.0
176,59.738247,65.0
177,59.630547,65.0
178,59.572594,65.0
179,59.45411,66.0
180,59.397724,66.0
181,59.353077,66.0
182,59.384094,66.0
183,59.265636,66.0
184,59.27184,67.0
185,59.394028,67.0
186,59.600838,66.0
187,59.62439,66.0
188,59.515778,65.0
189,58.588352,64.0
190,58.29559,62.0
191,58.494778,62.0
192,58.543377,60.0
193,58.076904,59.0
194,57.80118,59.0
195,57.649685,58.0
196,57.50808,57.0
197,57.400776,57.0
198,57.287636,57.0
199,57.121597,57.0
200,57.001072,57.0
201,56.90838,58.0
202,56.827587,58.0
203,56.791878,58.0
204,56.74996,58.0
205,56.68246,58.0
206,56.711105,59.0
207,56.97684,60.0
208,57.157257,60.0
209,56.750813,59.0
210,56.04748,61.0
211,56.22735,61.0
212,55.63315,71.0
213,56.05364,64.0
214,55.916466,71.0
215,55.846046,64.0
216,55.839016,64.0
217,55.835667,64.0
218,55.8267,64.0
219,55.82984,64.0
220,55.833614,64.0
221,55.84448,64.0
222,55.8832,65.0
223,55.944633,65.0
224,55.97326,65.0
225,55.992744,65.0
226,56.022957,65.0
227,56.025208,64.0
228,56.03362,64.0
229,56.041725,64.0
230,56.008354,62.0
231,55.948757,62.0
232,55.834587,61.0
233,55.53398,62.0
234,55.373146,62.0
235,55.08094,62.0
236,54.42057,60.0
237,53.894417,61.0
238,54.076656,60.0
239,54.041496,59.0
240,53.948673,60.0
241,54.003628,60.0
242,54.01735,59.0
243,54.006683,59.0
244,53.99008,59.0
245,53.9702,59.0
246,53.94775,59.0
247,53.908916,59.0
248,53.89626,59.0
249,53.879692,59.0
250,53.822094,59.0
251,53.80643,59.0
252,53.878555,58.0
253,53.91678,58.0
254,54.066784,58.0
255,54.14018,58.0
256,53.896084,57.0
257,53.856,57.0
258,53.95936,56.0
259,53.650032,56.0
260,53.474586,56.0
261,53.313866,55.0
262,53.302166,55.0
263,52.9272,55.0
264,52.556423,53.99999999999999
265,52.456963,53.99999999999999
266,52.36419,53.99999999999999
267,52.225666,53.0
268,52.19237,53.0
269,52.15274,52.0
270,52.03888,52.0
271,51.975727,52.0
272,52.01334,50.0
273,51.98393,47.0
274,51.50744,44.0
275,51.0722,42.99999999999999
276,50.947624,45.0
277,50.786674,45.0
278,50.748436,45.0
279,50.622803,45.0
280,50.37582,46.0
281,50.519073,46.0
282,50.678158,45.0
283,49.75353,42.99999999999999
284,48.811573,46.0
285,48.208046,47.0
286,48.45402,51.0
287,48.989815,61.0
288,48.84018,61.0
289,48.653526,51.0
290,48.64912,48.0
291,48.724567,50.0
292,48.631832,49.0
293,48.133144,51.0
294,48.05875,51.0
295,48.01797,51.0
296,47.82904,51.0
297,47.729214,52.0
298,47.681343,53.0
299,47.638485,53.0
300,47.697544,53.0
301,47.747787,53.99999999999999
302,47.80672,55.0
303,48.00814,56.0
304,48.46488,56.0
305,48.548466,56.0
306,48.973495,57.0
307,49.464703,58.0
308,50.228924,59.0
309,50.23169,59.0
310,50.58565,59.0
311,50.99626,59.0
312,51.216053,60.0
313,51.299953,61.0
314,51.489788,61.0
315,51.43509,61.0
316,51.311287,62.0
317,51.010944,62.0
