,prediction,actual
0,65.03545,63.0
1,62.705864,64.0
2,63.958332,63.0
3,62.82192,63.0
4,62.82662,63.0
5,62.89945,63.0
6,62.841133,61.99999999999999
7,61.89379,61.99999999999999
8,61.915775,61.99999999999999
9,61.883854,61.99999999999999
10,61.92512,61.99999999999999
11,61.926544,61.99999999999999
12,61.916252,63.0
13,62.831726,64.0
14,64.03967,63.0
15,62.91625,63.0
16,62.995323,61.99999999999999
17,61.83661,61.99999999999999
18,61.765675,61.99999999999999
19,61.89199,63.0
20,63.029095,63.0
21,62.742294,65.0
22,65.523285,65.0
23,65.23938,65.0
24,65.05461,65.0
25,65.12089,66.0
26,66.04451,67.0
27,67.101265,67.0
28,67.019905,66.0
29,65.91654,66.0
30,65.872055,66.0
31,65.79033,66.0
32,65.880516,66.0
33,65.865135,66.0
34,65.917435,66.0
35,65.95272,66.0
36,65.88713,65.0
37,64.72074,63.0
38,62.84718,63.0
39,62.93431,63.0
40,62.86843,63.0
41,62.83908,63.0
42,63.085354,64.0
43,64.20775,64.0
44,64.30804,64.0
45,64.27085,63.0
46,62.971706,63.0
47,63.043972,63.0
48,63.040173,64.0
49,63.988045,64.0
50,64.07505,65.0
51,65.06758,65.0
52,64.89489,66.0
53,65.9436,66.0
54,65.95106,66.0
55,65.948586,67.0
56,67.03432,67.0
57,67.02816,67.0
58,66.96647,67.0
59,66.98604,67.0
60,66.95493,68.0
61,67.86151,69.0
62,69.17687,69.0
63,69.09962,69.0
64,68.987144,69.0
65,68.838585,69.0
66,69.063705,69.0
67,68.9804,68.0
68,67.93776,68.0
69,68.37808,68.0
70,68.10523,68.0
71,67.62827,69.0
72,68.81885,69.0
73,68.90727,67.0
74,66.711914,65.0
75,64.75951,64.0
76,63.74864,63.0
77,62.797623,64.0
78,64.00667,64.0
79,63.948048,64.0
80,63.9391,64.0
81,64.0025,64.0
82,63.99434,65.0
83,65.04972,65.0
84,65.03833,64.0
85,63.878735,61.99999999999999
86,61.781532,63.0
87,63.04516,63.0
88,63.141678,64.0
89,64.14649,64.0
90,64.2413,64.0
91,64.156845,64.0
92,64.06124,64.0
93,64.25867,64.0
94,64.01174,63.0
95,62.814915,61.99999999999999
96,61.728928,63.0
97,62.9416,64.0
98,63.83993,66.0
99,66.02458,66.0
100,65.824875,67.0
101,67.08616,67.0
102,67.09761,67.0
103,67.04203,66.0
104,65.9428,66.0
105,66.00769,66.0
106,66.00236,66.0
107,66.0667,66.0
