,prediction,actual
0,60.278534,61.0
1,59.803696,60.0
2,59.62744,60.0
3,59.242554,60.0
4,58.852318,60.0
5,58.661804,60.0
6,58.680336,60.0
7,58.70788,60.0
8,58.78818,59.0
9,58.842026,59.0
10,58.64238,59.0
11,58.360756,58.0
12,58.051826,58.0
13,57.579517,58.0
14,57.355736,57.0
15,57.146927,57.0
16,56.70662,57.0
17,56.180046,57.0
18,55.714,57.0
19,55.243137,57.0
20,54.760227,57.0
21,54.27995,57.0
22,54.089306,57.0
23,53.846478,57.0
24,53.455986,57.0
25,53.45776,58.0
26,53.698605,58.0
27,54.115837,59.0
28,54.5582,59.0
29,55.238438,60.0
30,55.96074,60.0
31,56.77641,60.0
32,57.472736,60.0
33,58.013786,61.0
34,58.22522,61.0
35,58.687553,61.0
36,59.14493,61.0
37,59.670483,62.0
38,59.92607,62.0
39,60.377327,62.0
40,60.673615,62.0
41,60.693874,62.0
42,60.344574,61.0
43,59.827847,61.0
44,59.048054,61.0
45,58.30864,61.0
46,57.742096,61.0
47,57.290348,61.0
48,57.070244,61.0
49,56.89611,60.0
50,56.6991,60.0
51,56.349888,59.0
52,56.06288,59.0
53,56.092995,58.0
54,56.079636,58.0
55,55.837048,59.0
56,55.61859,59.0
57,55.76293,60.0
58,56.09173,60.0
59,56.95002,60.0
60,57.623592,61.0
61,58.237453,61.0
62,58.810062,61.0
63,59.315735,61.0
64,59.60916,62.0
65,59.577667,62.0
66,59.658463,62.0
67,59.739666,62.0
68,59.651463,62.0
69,59.59898,62.0
70,59.415104,62.0
71,59.21408,62.0
72,58.92786,62.0
73,58.877277,62.0
74,58.888313,62.0
75,58.892403,62.0
76,59.18816,62.0
77,59.383232,62.0
78,59.449356,61.0
79,59.36357,60.0
80,59.05405,60.0
81,58.446907,59.0
82,57.872257,58.0
83,57.32315,57.0
84,56.82956,57.0
85,56.002438,56.0
86,55.349335,56.0
87,54.835907,56.0
88,54.505165,56.0
89,54.151325,56.0
90,53.889004,56.0
91,53.522587,56.0
92,53.05366,56.0
93,52.411327,55.0
94,51.85989,55.0
95,51.177437,55.0
96,50.74718,55.0
