,prediction,actual
0,66.044716,65.0
1,65.98015,65.0
2,65.631546,66.0
3,65.95676,67.0
4,67.01476,67.0
5,67.262184,66.0
6,66.38199,66.0
7,65.953224,66.0
8,65.784096,66.0
9,65.81132,66.0
10,65.92369,66.0
11,65.992805,66.0
12,66.03041,66.0
13,66.06212,65.0
14,65.26211,63.0
15,63.284336,63.0
16,62.470455,63.0
17,62.357285,63.0
18,62.541294,63.0
19,62.90078,64.0
20,64.10405,64.0
21,64.688705,64.0
22,64.707275,63.0
23,63.57633,63.0
24,62.961617,63.0
25,62.577328,64.0
26,63.71631,64.0
27,64.20988,65.0
28,65.23737,65.0
29,65.49158,66.0
30,66.25869,66.0
31,66.413185,66.0
32,66.280045,67.0
33,66.93745,67.0
34,67.10457,67.0
35,67.13564,67.0
36,67.15113,67.0
37,67.101974,68.0
38,67.8524,69.0
39,69.04913,69.0
40,69.36699,69.0
41,69.35764,69.0
42,69.29805,69.0
43,69.217636,69.0
44,69.08643,68.0
45,67.98331,68.0
46,67.58784,68.0
47,67.574585,68.0
48,67.70433,69.0
49,69.06202,69.0
50,69.6099,67.0
51,67.814064,65.0
52,65.07845,64.0
53,63.201313,63.0
54,61.888763,64.0
55,62.665394,64.0
56,63.416286,64.0
57,63.87007,64.0
58,64.217995,64.0
59,64.323105,65.0
60,65.05156,65.0
61,65.24523,64.0
62,64.5216,61.99999999999999
63,62.52467,63.0
64,62.472015,63.0
65,62.49854,64.0
66,63.526268,64.0
67,64.047195,64.0
68,64.299225,64.0
69,64.390755,64.0
70,64.19586,64.0
71,64.08027,63.0
72,63.01273,61.99999999999999
73,61.77372,63.0
74,62.40328,64.0
75,63.80862,66.0
76,65.91385,66.0
77,66.67709,67.0
78,67.61085,67.0
79,67.79953,67.0
80,67.66293,66.0
81,66.55927,66.0
82,65.962776,66.0
83,65.713875,66.0
84,65.69595,66.0
85,65.77731,66.0
86,65.85244,66.0
87,65.919,66.0
88,65.99776,66.0
89,66.09765,66.0
90,66.1232,66.0
91,66.09635,65.0
92,65.28193,65.0
93,64.851166,64.0
94,63.738224,65.0
95,64.48561,67.0
96,66.90619,67.0
97,67.99147,66.0
98,67.19411,68.0
99,68.4365,67.0
100,67.65265,69.0
101,68.871185,68.0
102,68.41336,68.0
103,68.08288,68.0
104,67.821785,69.0
105,68.61112,69.0
106,68.87178,69.0
107,68.95609,69.0
108,69.075584,68.0
109,68.196266,70.0
110,69.518936,70.0
111,69.978325,71.0
112,71.04464,71.0
113,71.41588,71.0
114,71.33007,71.0
115,71.16933,72.0
116,71.95952,73.0
117,73.07264,74.0
118,74.34148,73.0
119,73.80705,72.0
120,72.26858,72.0
121,71.528015,72.0
122,71.28509,71.0
123,70.455345,70.0
124,69.51669,68.0
125,67.68493,68.0
126,67.11259,67.0
127,66.432976,67.0
