,prediction,actual
0,66.044716,65.0
1,66.84437,65.0
2,67.2429,66.0
3,67.076,67.0
4,67.082,67.0
5,67.32869,66.0
6,67.5249,66.0
7,67.27436,66.0
8,66.88686,66.0
9,66.574036,66.0
10,66.39495,66.0
11,66.306274,66.0
12,66.27287,66.0
13,66.27769,65.0
14,66.27756,63.0
15,65.99119,63.0
16,64.95514,63.0
17,63.956017,63.0
18,63.30234,63.0
19,63.161274,64.0
20,63.384758,64.0
21,64.154015,64.0
22,64.845764,63.0
23,65.22945,63.0
24,64.93912,63.0
25,64.325096,64.0
26,64.01096,64.0
27,64.21969,65.0
28,64.54232,65.0
29,65.11611,66.0
30,65.53829,66.0
31,66.04354,66.0
32,66.314804,67.0
33,66.39057,67.0
34,66.61871,67.0
35,66.831856,67.0
36,67.017395,67.0
37,67.1158,68.0
38,67.14612,69.0
39,67.5593,69.0
40,68.20041,69.0
41,68.70672,69.0
42,69.05765,69.0
43,69.26527,69.0
44,69.326004,68.0
45,69.20464,68.0
46,68.679184,68.0
47,68.19121,68.0
48,67.88257,69.0
49,68.00551,69.0
50,68.69698,67.0
51,69.3588,65.0
52,68.89415,64.0
53,67.39349,63.0
54,65.59494,64.0
55,63.99667,64.0
56,63.413696,64.0
57,63.413128,64.0
58,63.760967,64.0
59,64.136566,65.0
60,64.377075,65.0
61,64.75704,64.0
62,65.11874,61.99999999999999
63,64.97036,63.0
64,64.03584,63.0
65,63.308044,64.0
66,62.975956,64.0
67,63.229496,64.0
68,63.671394,64.0
69,64.12252,64.0
70,64.29535,64.0
71,64.32038,63.0
72,64.19877,61.99999999999999
73,63.782764,63.0
74,63.109966,64.0
75,63.013386,66.0
76,63.50374,66.0
77,64.65111,67.0
78,65.71515,67.0
79,66.76137,67.0
80,67.47,66.0
81,67.75178,66.0
82,67.428665,66.0
83,66.85763,66.0
84,66.37342,66.0
85,66.07186,66.0
86,65.90938,66.0
87,65.84658,66.0
88,65.87405,66.0
89,65.9957,66.0
90,66.119705,66.0
91,66.19412,65.0
92,66.25721,65.0
93,65.96053,64.0
94,65.49858,65.0
95,64.940544,67.0
96,65.00392,67.0
97,66.15299,66.0
98,67.33414,68.0
99,67.828835,67.0
100,68.39214,69.0
101,68.329666,68.0
102,68.68682,68.0
103,68.66332,68.0
104,68.40509,69.0
105,68.13063,69.0
106,68.17068,69.0
107,68.28945,69.0
108,68.504555,68.0
109,68.60326,70.0
110,68.39003,70.0
111,68.66239,71.0
112,69.13361,71.0
113,69.878525,71.0
114,70.394806,71.0
115,70.66076,72.0
116,70.829994,73.0
117,71.0802,74.0
118,71.50664,73.0
119,72.35686,72.0
120,72.60875,72.0
121,72.10654,72.0
122,71.37772,71.0
123,70.79893,70.0
124,70.22582,68.0
125,69.51859,68.0
126,68.432594,67.0
127,67.6151,67.0
128,66.90486,66.0
129,66.56183,66.0
130,66.23101,66.0
131,66.004425,65.0
132,65.98519,67.0
133,65.78053,66.0
134,66.14106,67.0
135,66.403656,66.0
136,66.76797,65.0
137,66.751564,66.0
138,66.309944,66.0
139,66.137115,67.0
140,66.15762,66.0
141,66.52344,66.0
142,66.59188,66.0
143,66.585655,67.0
144,66.48157,67.0
145,66.60225,67.0
146,66.81226,67.0
147,66.96775,68.0
148,66.95993,69.0
149,67.21479,70.0
150,67.88439,71.0
151,68.90512,71.0
152,70.1602,71.0
153,71.102715,71.0
154,71.592476,71.0
155,71.70258,72.0
156,71.65171,70.0
157,71.802124,72.0
158,71.47192,70.0
159,71.553154,72.0
160,71.255356,73.0
161,71.54456,72.0
162,72.25377,72.0
163,72.59592,72.0
164,72.69409,72.0
165,72.45638,73.0
166,71.966576,72.0
167,71.98323,71.0
168,72.008865,72.0
169,71.72113,71.0
170,71.77959,70.0
171,71.5343,69.0
172,70.94519,69.0
173,69.92027,69.0
174,69.26954,69.0
175,68.953064,69.0
176,68.891884,69.0
177,68.91006,69.0
178,69.025085,69.0
179,69.11693,69.0
180,69.21025,69.0
181,69.20637,68.0
182,69.153465,70.0
183,68.870255,70.0
184,69.16706,70.0
185,69.61893,70.0
186,69.97009,70.0
187,70.216576,71.0
188,70.308105,71.0
189,70.523705,71.0
190,70.73106,71.0
191,70.77613,69.0
192,70.826385,70.0
193,70.00247,70.0
194,69.6297,71.0
195,69.71745,71.0
196,70.3377,71.0
197,70.907555,70.0
198,71.2993,70.0
199,71.25461,71.0
200,71.00199,71.0
201,71.06079,70.0
202,71.3173,70.0
203,71.28712,69.0
204,71.14553,70.0
205,70.71332,69.0
206,70.52301,68.0
207,70.096054,67.0
208,69.34963,67.0
209,68.45198,67.0
210,67.70381,66.0
211,67.373665,66.0
212,66.94503,65.0
213,66.554146,65.0
214,65.93891,65.0
215,65.50334,66.0
216,65.36842,65.0
217,65.75137,65.0
218,65.9206,64.0
219,65.9579,65.0
220,65.6375,65.0
221,65.45369,65.0
222,65.34659,66.0
223,65.36701,66.0
224,65.80714,67.0
225,66.286514,67.0
226,66.88014,67.0
227,67.40413,67.0
228,67.76111,66.0
229,67.757545,68.0
230,67.345085,67.0
231,67.39522,67.0
232,67.3166,67.0
233,67.224144,65.0
234,67.17202,65.0
235,66.4128,64.0
236,65.62042,64.0
237,64.76848,63.0
238,64.15073,63.0
239,63.71943,63.0
240,63.63912,63.0
241,63.70244,63.0
242,63.901768,63.0
243,64.138664,61.99999999999999
244,64.24851,61.99999999999999
245,63.9215,61.0
246,63.48432,60.0
247,62.781143,60.0
248,61.83485,59.0
249,61.026627,59.0
250,60.214523,58.0
251,59.57417,58.0
252,58.927097,59.0
253,58.445927,58.0
254,58.402576,58.0
255,58.30788,58.0
256,58.22985,58.0
257,58.29236,60.0
258,58.381695,60.0
259,59.123707,61.0
260,59.918312,61.0
261,60.910694,61.0
262,61.596592,63.0
263,61.953033,108.99999999999999
264,62.842194,101.0
265,72.91872,90.0
266,85.3081,77.0
267,89.24776,63.0
268,82.24666,61.99999999999999
269,65.90104,61.99999999999999
270,52.23953,63.0
271,47.194332,61.99999999999999
272,48.16405,61.99999999999999
273,51.99828,61.99999999999999
274,55.87464,61.99999999999999
275,58.894787,64.0
276,61.032326,64.0
277,62.796856,63.0
278,63.570736,63.0
279,63.02135,63.0
280,62.224228,63.0
281,61.77926,63.0
282,61.85618,63.0
283,62.39661,63.0
284,62.83934,63.0
285,62.938835,63.0
286,62.942585,63.0
287,62.99298,64.0
288,63.14954,63.0
289,63.669785,66.0
290,63.95483,67.0
291,65.042656,68.0
292,66.38467,68.0
293,67.72281,68.0
294,68.37888,68.0
295,68.508896,70.0
296,68.249405,71.0
297,68.56097,72.0
298,69.3103,72.0
299,70.355225,72.0
300,71.293396,73.0
301,71.84381,73.0
302,72.33281,74.0
303,72.67356,74.0
304,73.10251,73.0
305,73.420296,73.0
306,73.18863,73.0
307,72.591095,73.0
308,72.123055,72.0
309,71.82361,73.0
310,71.44054,72.0
311,71.63847,71.0
312,71.510056,71.0
313,71.13186,71.0
314,70.835014,69.0
315,70.777084,68.0
316,70.32989,69.0
317,69.40262,69.0
318,69.02922,70.0
319,69.033455,70.0
320,69.55997,69.0
321,70.09372,69.0
322,70.14444,69.0
323,69.91471,68.0
324,69.556595,68.0
325,68.92498,70.0
326,68.365364,69.0
327,68.47376,71.0
328,68.62243,72.0
329,69.35588,72.0
330,70.47784,71.0
331,71.277016,72.0
332,71.01572,72.0
333,70.69402,72.0
334,70.71867,87.0
335,70.8904,111.0
336,74.53365,119.0
337,85.19057,114.0
338,99.145584,101.0
339,106.58804,77.0
340,102.43887,77.0
341,85.71389,77.0
342,70.52424,78.0
343,64.51116,78.0
344,64.85559,77.0
345,67.98094,76.0
346,71.710464,76.0
347,74.070465,76.0
348,75.41249,75.0
349,75.83675,73.0
350,75.14521,73.0
351,73.76615,72.0
352,72.59682,72.0
353,72.06039,72.0
354,71.914734,73.0
355,72.55107,73.0
356,72.62222,73.0
357,71.83771,74.0
358,71.48922,74.0
359,71.64345,84.0
360,72.01367,87.0
361,74.6995,84.0
362,79.01307,72.0
363,81.288506,73.0
364,78.2977,72.0
365,73.19305,72.0
366,68.9757,71.0
367,66.9382,70.0
368,66.487595,71.0
369,66.9367,72.0
370,67.99256,72.0
371,69.510216,72.0
372,70.86099,73.0
373,71.97594,75.0
374,73.0002,74.0
375,74.03394,74.0
376,74.49284,74.0
377,74.53408,73.0
378,74.259735,73.0
379,73.31871,73.0
380,72.27601,73.0
381,71.80918,72.0
382,71.85129,73.0
383,71.850525,72.0
384,72.20352,71.0
385,72.41256,72.0
386,72.06355,73.0
387,71.98732,74.0
388,72.437805,74.0
389,73.34891,63.0
390,74.19228,61.99999999999999
391,71.2723,61.0
392,66.90847,60.0
393,62.98355,59.0
394,60.433918,59.0
395,59.11549,58.0
396,58.715046,57.0
397,58.455482,57.0
398,58.109653,57.0
399,57.868042,56.0
400,57.771572,55.0
401,57.541573,54.0
402,56.811832,53.0
403,55.709984,53.0
404,54.812927,54.0
405,54.476635,54.0
406,55.01871,54.0
407,55.7502,54.0
408,56.39199,55.0
409,56.69235,54.0
410,57.076057,54.0
411,56.784084,54.0
412,56.251396,54.0
413,55.596195,57.0
414,55.20485,57.0
415,55.826317,57.0
416,56.68941,56.0
417,57.396793,56.0
418,57.476803,56.0
419,57.23531,55.0
420,56.886402,55.0
421,56.26128,55.0
422,55.730064,54.0
423,55.3727,54.0
424,54.909695,55.0
425,54.599987,55.0
426,54.825527,55.0
427,55.33665,55.0
428,55.681202,54.0
429,55.73313,54.0
430,55.238445,54.0
431,54.75669,56.0
432,54.5852,56.0
433,55.020515,55.0
434,55.614174,55.0
435,55.819145,55.0
436,55.77584,55.0
437,55.602203,46.99999999999999
438,55.574596,46.0
439,52.861275,44.0
440,49.555077,41.0
441,46.48492,41.0
442,43.400143,40.0
443,42.164806,39.0
444,42.101017,38.0
445,42.36588,38.0
446,42.345192,38.0
447,42.294273,38.0
448,42.376995,37.0
449,42.471935,37.0
450,42.144978,38.0
451,41.64574,39.0
452,41.6908,40.0
453,42.436764,42.0
454,43.80896,43.0
455,45.617893,44.0
456,47.018898,43.0
457,48.095463,45.0
458,48.107265,45.0
459,48.233093,45.0
460,48.055428,46.99999999999999
461,47.62454,63.0
462,48.044712,63.0
463,52.230083,65.0
464,57.767925,66.0
465,62.723274,67.0
466,66.13472,67.0
467,67.80835,68.0
468,67.81851,67.0
469,67.01467,67.0
470,65.601265,68.0
471,64.47304,70.0
472,64.267944,69.0
473,65.36068,69.0
474,66.46477,69.0
475,67.27005,69.0
476,67.55088,69.0
477,67.62684,69.0
478,67.597824,70.0
479,67.584625,70.0
480,68.11704,69.0
481,68.82731,70.0
482,69.251816,68.0
483,69.53925,67.0
484,69.02863,67.0
485,68.03657,60.0
486,67.240845,60.0
487,64.330376,59.0
488,61.550705,59.0
489,59.52134,58.0
490,58.62598,59.0
491,58.229626,58.0
492,58.375687,58.0
493,58.439552,57.0
494,58.493576,57.0
495,58.253822,56.0
496,57.997055,56.0
497,57.52657,56.0
498,57.232193,56.0
499,56.91647,56.0
500,56.933945,55.0
501,57.1705,54.0
502,57.19388,54.0
503,56.61394,54.0
504,55.99274,53.0
505,55.583862,53.0
506,54.970398,54.0
507,54.507122,55.0
508,54.582085,56.0
509,55.183247,73.0
510,56.08422,73.0
511,60.84965,74.0
512,66.91185,75.0
513,71.64488,75.0
514,74.55573,75.0
515,75.603775,74.0
516,75.32908,74.0
517,74.12144,73.0
518,72.87245,72.0
519,71.69347,72.0
520,70.62748,72.0
521,70.09163,71.0
522,70.40639,71.0
523,70.59695,70.0
524,70.51605,69.0
525,70.13148,69.0
526,69.47769,67.0
527,68.78361,67.0
528,67.73435,65.0
529,66.86928,64.0
530,65.81429,63.0
531,64.760895,61.99999999999999
532,63.68656,60.0
533,62.63551,57.0
534,61.204212,57.0
535,59.164585,57.0
536,57.549038,57.0
537,56.700577,57.0
538,56.48347,57.0
539,56.621883,56.0
540,56.89653,57.0
541,56.938717,57.0
542,57.14797,57.0
543,57.34959,58.0
544,57.577957,58.0
545,58.089035,58.0
546,58.43029,59.0
547,58.699303,59.0
548,59.073425,59.0
549,59.260426,60.0
550,59.275135,59.0
551,59.525192,59.0
552,59.445896,59.0
553,59.20162,59.0
554,58.954163,58.0
555,58.76895,58.0
556,58.35506,58.0
557,58.086308,55.0
558,58.00791,55.0
559,56.99126,56.0
560,55.96229,56.0
561,55.686394,56.0
562,55.892403,56.0
563,56.207813,56.0
564,56.552917,56.0
565,56.86485,56.0
566,57.041813,56.0
567,57.093872,55.0
568,57.063614,55.0
569,56.68711,55.0
570,56.216576,56.0
571,55.795723,55.0
572,55.905922,55.0
573,55.990437,56.0
574,55.991917,55.0
575,56.328358,55.0
576,56.28854,55.0
577,56.118855,54.0
578,55.87399,54.0
579,55.26457,54.0
580,54.704956,54.0
581,54.379032,139.0
582,54.229664,137.0
583,71.96522,136.0
584,99.765785,138.0
585,118.28398,138.0
586,118.45496,136.0
587,104.49755,127.0
588,86.06502,113.0
589,69.57433,103.0
590,57.611526,99.0
591,51.77128,98.0
592,51.81485,98.0
593,55.768063,97.0
594,61.462475,96.0
595,67.48613,96.0
596,72.305176,95.0
597,76.81448,93.99999999999999
598,79.53434,93.99999999999999
599,80.90155,93.99999999999999
600,81.69246,93.99999999999999
601,82.437,93.0
602,83.11952,92.0
603,83.76099,91.0
604,83.97628,90.0
605,83.750084,143.0
606,82.89204,132.0
607,94.62434,118.0
608,107.743805,105.0
609,111.25628,99.0
610,103.73541,97.0
611,91.418724,96.0
612,82.12505,93.99999999999999
613,77.86036,92.0
614,77.31405,89.0
615,78.23431,87.0
616,79.13088,86.0
617,79.13558,86.0
618,78.391235,86.0
619,78.02182,86.0
620,77.83711,85.0
621,77.991104,85.0
622,78.26817,85.0
623,78.922615,86.0
624,79.47677,86.0
625,80.30936,86.0
626,81.06279,87.0
627,81.52856,88.0
628,81.6777,88.0
629,82.51605,69.0
630,83.56262,70.0
631,79.49052,70.0
632,73.87199,71.0
633,69.720116,71.0
634,68.13943,71.0
635,68.05882,71.0
636,68.661194,72.0
637,69.56608,72.0
638,70.621216,72.0
639,71.51574,72.0
640,72.13149,72.0
641,72.459816,72.0
642,72.4306,72.0
643,72.02819,71.0
644,71.9348,71.0
645,71.575516,70.0
646,71.265594,70.0
647,70.77217,70.0
648,70.631035,70.0
649,70.63296,70.0
650,70.77996,70.0
651,70.89245,71.0
652,70.986244,72.0
653,71.4254,57.0
654,72.10466,56.0
655,68.23688,56.0
656,62.49194,56.0
657,58.053055,55.0
658,55.96987,54.0
659,55.177784,54.0
660,54.869953,53.0
661,54.860573,53.0
662,54.739056,53.0
663,54.53729,52.0
664,54.399483,53.0
665,54.329674,53.0
666,54.396152,53.0
667,54.69366,54.0
668,55.148716,53.0
669,55.749077,53.0
670,55.98277,53.0
671,55.90684,53.0
672,55.697826,53.0
673,55.582226,52.0
674,55.425808,52.0
675,54.804924,52.0
676,54.162857,50.0
677,53.626907,86.0
678,52.62962,86.0
679,59.07206,86.0
680,69.42803,86.0
681,78.66004,86.0
682,83.502495,87.0
683,83.49203,85.0
684,80.67871,86.0
685,76.72193,86.0
686,74.23826,87.0
687,73.31524,87.0
688,74.102585,86.0
689,75.71892,85.0
690,76.903114,85.0
691,77.14144,85.0
692,76.8526,85.0
693,76.36581,86.0
694,76.035095,86.0
695,76.646034,87.0
696,78.14262,86.0
697,80.25092,86.0
698,81.10857,86.0
699,81.28246,86.0
700,81.274155,86.0
701,81.27032,86.0
702,81.46726,87.0
703,81.82775,87.0
704,82.541016,87.0
705,83.36522,88.0
706,84.01227,89.0
707,84.71495,89.0
708,85.62895,90.0
709,86.393234,91.0
710,87.102585,91.0
711,87.6399,91.0
712,87.9655,92.0
713,88.00675,93.99999999999999
714,88.06974,93.99999999999999
715,88.35383,95.0
716,88.386894,96.0
717,88.20578,96.0
718,88.713486,97.0
719,88.75416,97.0
720,88.863625,99.0
721,89.156136,99.0
722,89.854355,104.0
723,90.3451,114.0
724,92.14655,126.0
725,96.59192,129.0
726,104.77961,128.0
727,112.60085,130.0
728,115.83582,132.0
729,115.609314,138.0
730,113.774185,142.0
731,113.69648,146.0
732,115.71962,149.0
733,118.57421,151.00000000000003
734,120.99838,151.00000000000003
735,121.22184,151.00000000000003
736,119.149796,150.0
737,115.8331,151.00000000000003
738,111.34876,151.00000000000003
739,107.4298,151.00000000000003
740,104.079704,151.00000000000003
741,100.34183,147.0
742,97.00322,150.0
