,prediction,actual
0,64.45785,65.0
1,64.04195,65.0
2,63.669495,65.0
3,62.944267,64.0
4,62.254707,64.0
5,61.94044,64.0
6,61.571274,65.0
7,60.986866,65.0
8,60.520885,65.0
9,60.00018,65.0
10,59.711456,65.0
11,59.347,65.0
12,58.68998,65.0
13,57.97351,65.0
14,57.649414,65.0
15,57.389187,65.0
16,56.961044,64.0
17,55.993713,64.0
18,55.172474,63.0
19,54.620544,62.0
20,53.989647,62.0
21,53.326942,61.0
22,52.55991,61.0
23,51.94068,61.0
24,51.474777,60.0
25,51.052727,60.0
26,50.590347,60.0
27,50.01431,60.0
28,49.227345,60.0
29,48.77629,60.0
30,48.163467,60.0
31,47.535023,59.0
32,47.041782,59.0
33,46.53278,59.0
34,46.10701,58.0
35,45.63291,58.0
36,45.296352,58.0
37,44.942993,57.0
38,44.824745,57.0
39,44.683502,57.0
40,44.162685,57.0
41,43.961113,57.0
42,43.139168,57.0
43,42.86006,57.0
44,42.219078,57.0
45,42.16337,57.0
46,41.92819,57.0
47,41.408207,57.0
48,42.024235,58.0
49,41.85474,58.0
50,41.522717,59.0
51,41.19902,59.0
52,40.829823,60.0
53,40.759087,60.0
54,40.629665,60.0
55,40.236485,60.0
56,40.04061,61.0
57,39.510868,61.0
58,39.377052,61.0
59,39.178627,61.0
60,39.2036,62.0
61,38.963837,62.0
62,38.513565,62.0
63,37.458138,62.0
64,37.440586,62.0
65,36.717575,61.0
66,36.862335,61.0
67,36.916737,61.0
68,36.88415,61.0
69,36.81545,61.0
70,36.357574,61.0
71,36.159874,61.0
72,35.794514,60.0
73,35.5213,60.0
74,35.31068,59.0
75,35.086372,59.0
76,35.103683,58.0
77,35.12759,58.0
78,35.00746,59.0
79,34.61127,59.0
80,34.0608,60.0
81,33.60743,60.0
82,33.547417,60.0
83,33.068577,61.0
84,33.071472,61.0
85,32.705532,61.0
86,32.595078,61.0
87,32.412296,62.0
88,31.563936,62.0
89,30.91628,62.0
90,31.295282,62.0
91,31.109243,62.0
92,31.361357,62.0
93,31.503546,62.0
94,31.491634,62.0
95,30.916302,62.0
96,31.13863,62.0
97,30.848135,62.0
98,30.251492,62.0
99,30.181437,62.0
100,30.157948,62.0
101,30.028296,61.0
102,29.823065,60.0
103,29.535324,60.0
104,29.38447,59.0
105,28.618214,58.0
106,28.372864,57.0
107,28.304157,57.0
108,27.927656,56.0
109,27.567049,56.0
110,27.74797,56.0
111,27.667885,56.0
112,27.03887,56.0
113,26.791637,56.0
114,26.843271,56.0
115,25.938557,56.0
116,25.497307,55.0
117,25.559393,55.0
118,25.665398,55.0
119,25.3232,55.0
120,24.526283,55.0
121,24.501577,56.0
122,24.391586,56.0
123,24.49138,57.0
124,24.499466,57.0
125,24.279827,58.0
126,23.887398,59.0
127,23.24241,60.0
128,23.171532,61.0
129,22.74298,62.0
130,22.406326,62.0
131,21.94462,63.0
132,22.25116,64.0
133,22.538055,64.0
134,21.985619,64.0
135,21.36948,65.0
136,20.980343,65.0
137,20.276516,65.0
138,19.753244,65.0
139,20.362171,66.0
140,20.126616,66.0
141,19.76483,66.0
142,19.825323,66.0
143,20.44092,66.0
144,21.117445,65.0
145,21.36773,65.0
146,23.053127,65.0
147,22.674978,65.0
148,22.275158,65.0
149,22.300842,65.0
150,22.288094,64.0
151,22.192394,63.0
152,22.08553,62.0
153,21.154402,61.0
154,20.23355,60.0
155,19.422625,59.0
156,19.674046,59.0
157,19.456099,58.0
158,19.929422,57.0
159,20.846018,57.0
160,21.02604,57.0
161,22.30883,57.0
162,22.734533,57.0
163,22.9164,58.0
164,22.780025,58.0
165,22.54553,58.0
166,22.865063,59.0
167,22.989195,59.0
168,23.10719,59.0
169,23.044506,59.0
170,23.149628,59.0
171,23.21228,59.0
172,23.333275,59.0
173,23.141424,59.0
174,22.802847,59.0
175,22.347136,59.0
176,21.700518,59.0
177,21.083784,60.0
178,21.161459,60.0
179,20.9726,60.0
180,21.136694,60.0
181,21.352312,61.0
182,21.450027,61.0
183,21.284842,61.0
184,20.780624,61.0
185,20.104803,61.0
186,19.848185,61.0
187,19.695793,61.0
188,19.667995,61.0
189,20.358725,61.0
190,20.95216,61.0
191,20.270052,60.0
192,20.192434,60.0
193,21.149572,60.0
194,21.649328,59.0
195,21.703989,58.0
196,21.822168,58.0
197,22.075531,57.0
198,22.308947,56.0
199,22.47256,55.0
200,22.422342,55.0
201,22.411644,55.0
202,22.360258,55.0
203,22.327713,55.0
204,22.384672,55.0
205,22.390676,55.0
206,22.266394,55.0
207,21.704979,55.0
208,21.447725,55.0
209,21.439795,55.0
210,20.770643,55.0
211,20.191336,55.0
212,19.363014,55.0
213,19.227276,56.0
214,18.371933,56.0
215,18.250021,55.0
