,prediction,actual
0,64.28193,64.0
1,64.63445,64.0
2,64.94183,65.0
3,65.29966,65.0
4,65.67333,65.0
5,66.08129,66.0
6,66.48731,66.0
7,66.64897,67.0
8,67.03233,68.0
9,67.37178,69.0
10,67.74183,71.0
11,68.10144,71.0
12,68.43754,72.0
13,68.82568,73.0
14,69.33105,73.0
15,70.16802,74.0
16,70.67456,74.0
17,71.001015,74.0
18,71.38731,75.0
19,72.057976,75.0
20,72.5153,76.0
21,72.93352,75.0
22,73.14488,76.0
23,73.50513,75.0
24,73.89925,74.0
25,74.01791,74.0
26,74.29238,74.0
27,74.72449,73.0
28,75.17649,73.0
29,75.67544,72.0
30,76.1665,71.0
31,76.58716,70.0
32,76.95129,69.0
33,77.31563,68.0
34,77.59843,67.0
35,77.8711,67.0
36,78.15851,66.0
37,78.34643,65.0
38,78.508026,65.0
39,78.85429,65.0
40,79.01718,65.0
41,79.461685,65.0
42,79.808014,64.0
43,80.043846,64.0
44,80.53957,63.0
45,80.88497,64.0
46,81.11895,63.0
47,81.268295,63.0
48,81.70972,64.0
49,82.01556,64.0
50,82.33966,64.0
51,82.66343,64.0
52,83.017075,64.0
53,83.350426,64.0
54,83.73309,65.0
55,84.121544,66.0
56,84.49099,67.0
57,84.86791,67.0
58,85.2608,68.0
59,85.82004,70.0
60,86.31687,71.0
61,86.62124,73.0
62,87.09459,73.0
63,87.65363,74.0
64,87.641106,74.0
65,87.880615,74.0
66,87.83644,74.0
67,88.25538,74.0
68,88.52272,75.0
69,88.92756,75.0
70,89.284195,76.0
71,89.27938,76.0
72,89.57526,76.0
73,89.965576,76.0
74,90.22361,76.0
75,90.638794,77.0
76,91.2242,78.0
77,91.909645,78.0
78,92.69501,79.0
79,93.51154,79.0
80,94.32352,80.0
81,95.156075,81.0
82,95.95549,81.0
83,96.78544,80.0
84,97.110374,77.0
85,96.16665,77.0
86,96.15298,76.0
87,94.798325,76.0
88,94.64289,75.0
89,93.365074,75.0
90,92.94319,74.0
91,93.041794,75.0
92,93.162796,74.0
93,92.6191,73.0
94,92.3174,74.0
95,92.69829,73.0
96,92.6727,72.0
97,92.85798,73.0
98,93.513,75.0
99,94.22565,76.0
100,94.90968,76.0
101,95.62399,75.0
102,96.399216,73.0
103,97.092995,72.0
104,97.84878,71.0
105,98.70661,70.0
106,99.37517,69.0
107,100.05998,69.0
108,100.472015,69.0
109,99.47766,68.0
110,97.706085,69.0
111,94.93863,68.0
112,93.41577,69.0
113,92.959694,69.0
114,92.09919,68.0
115,91.607735,68.0
116,90.94552,69.0
117,90.91401,70.0
118,91.01749,70.0
119,91.14339,71.0
120,91.23736,71.0
121,91.354744,70.0
122,91.38863,69.0
123,91.768105,68.0
124,92.285324,69.0
125,92.79261,69.0
126,93.28622,70.0
127,93.71877,69.0
128,92.89725,69.0
129,92.19013,69.0
130,92.36085,68.0
131,91.88372,68.0
132,91.83324,69.0
133,91.6263,69.0
134,90.35967,69.0
135,89.83746,70.0
136,89.38885,70.0
137,89.340904,71.0
138,89.355965,72.0
139,89.30746,73.0
140,89.30999,72.0
141,89.04617,72.0
142,88.887474,71.0
143,88.44944,70.0
144,88.31707,70.0
145,88.29514,70.0
146,88.251686,69.0
147,87.93461,67.0
