,prediction,actual
0,76.12468,75.0
1,76.29783,74.0
2,76.06705,74.0
3,75.531075,74.0
4,74.97264,73.0
5,74.52419,73.0
6,73.98216,72.0
7,73.51385,71.0
8,72.98736,70.0
9,72.31509,69.0
10,71.46359,68.0
11,70.56806,67.0
12,69.549866,67.0
13,68.44996,66.0
14,67.6151,65.0
15,66.7809,65.0
16,65.96485,65.0
17,65.34905,65.0
18,65.044754,65.0
19,64.954895,64.0
20,64.90262,64.0
21,64.600464,63.0
22,64.122345,64.0
23,63.47685,63.0
24,63.286114,63.0
25,62.88955,64.0
26,62.62253,64.0
27,62.79042,64.0
28,63.07434,64.0
29,63.412624,64.0
30,63.730476,64.0
31,63.74778,65.0
32,63.706745,66.0
33,63.938644,67.0
34,64.56829,67.0
35,65.487915,68.0
36,66.24862,70.0
37,66.79537,71.0
38,67.634605,73.0
39,68.560425,73.0
40,69.82692,74.0
41,70.546936,74.0
42,71.02911,74.0
43,71.0282,74.0
44,70.746,74.0
45,70.34983,75.0
46,70.17273,75.0
47,70.42875,76.0
48,70.98141,76.0
49,71.71091,76.0
50,72.502594,76.0
51,73.12947,76.0
52,73.504234,77.0
53,73.634224,78.0
54,73.98613,78.0
55,74.54198,79.0
56,75.02196,79.0
57,75.65513,80.0
58,76.13818,81.0
59,76.73852,81.0
60,77.35261,80.0
61,77.57313,77.0
62,76.981155,77.0
63,75.42484,76.0
64,73.75353,76.0
65,72.33367,75.0
66,71.57663,75.0
67,71.3527,74.0
68,71.6861,75.0
69,71.9593,74.0
70,72.50912,73.0
71,72.71555,74.0
72,72.43299,73.0
73,72.33746,72.0
74,72.01242,73.0
75,71.39042,75.0
76,71.173256,76.0
77,71.772224,76.0
78,72.715416,75.0
79,73.48105,73.0
80,73.552,72.0
81,72.63527,71.0
82,71.2386,70.0
83,69.80708,69.0
84,68.456215,69.0
85,67.40476,69.0
86,67.101204,68.0
87,67.27676,69.0
88,67.40748,68.0
89,67.7425,69.0
90,67.749565,69.0
91,68.034485,68.0
92,68.373634,68.0
93,68.252785,69.0
94,68.01982,70.0
95,68.17157,70.0
96,68.531975,71.0
97,68.916214,71.0
98,69.45106,70.0
99,69.80176,69.0
100,69.586685,68.0
101,68.962204,69.0
102,68.049644,69.0
103,67.49782,70.0
104,67.39884,69.0
